CountryName,Indicator_Name,Y1990,Y1991,Y1992,Y1993,Y1994,Y1995,Y1996,Y1997,Y1998,Y1999,Y2000,Y2001,Y2002,Y2003,Y2004,Y2005,Y2006,Y2007,Y2008,Y2009,Y2010,Y2011,Y2012,MEAN,Median,STDEV.P,Q25,Q50,Q75
SaudiArabia,Population,16233785,16772694,17282691,17763298,18214470,18638787,19033845,19407142,19783304,20194527,20663843,21202642,21805313,22456649,23132682,23816183,24498310,25184597,25888541,26630303,27421461,28267685,29155187,21889040.83,21202642,3787171.644,18638787,21202642,25184597
Turkey,Population,53921760,54840590,55748948,56653804,57564204,58486456,59423282,60372568,61329676,62287397,63240194,64192243,65145367,66089402,67010930,67903469,68756810,69581848,70418604,71321399,72326988,73443863,74653016,64117948.61,64192243,6165723.051,58486456,64192243,69581848
UnitedStates,Population,249623000,252981000,256514000,259919000,263126000,266278000,269394000,272657000,275854000,279040000,282162411,284968955,287625193,290107933,292805298,295516599,298379912,301231207,304093966,306771529,309326085,311580009,313874218,283644752.8,284968955,19386965.75,266278000,284968955,301231207
SouthAfrica,Population,36800509,37718950,38672607,39633750,40564059,41435758,42241011,42987461,43682260,44338543,44967708,45571274,46150913,46719196,47291610,47880601,48489459,49119759,49779471,50477011,51216964,52004172,52834005,45242480.48,45571274,4583385.169,41435758,45571274,49119759
Argentina,greenhouse_gas_emissions_(kt_of_CO2_equivalent),266555.03,267188.7341,272139.1851,276522.7527,270948.3575,275096.4092,288246.2679,299708.76,311514.7,333886.59,331450.87,326483.81,311051.93,344797.06,369944.11,358385.64,373600.56,384547.75,411503.63,373409.0656,364684.2538,372873.1438,380295.3204,328905.823,331450.87,44545.055,276522.7527,331450.87,372873.1438
Australia,greenhouse_gas_emissions_(kt_of_CO2_equivalent),482298.262,499346.73,486991.982,479463.744,522429.54,489294.147,508882.826,921012.05,920773.48,1190138.38,1081244.41,1241515.99,1117450.02,1023667.58,1144343.87,909262.03,1119632.1,1065623.87,892629.27,1105167.236,782102.6922,785795.15,761686.2739,849163.1145,909262.03,264409.8581,508882.826,909262.03,1105167.236
Brazil,greenhouse_gas_emissions_(kt_of_CO2_equivalent),1606209.334,1569962.22,1649183.804,1772640.53,1455453.224,1574445.629,1613760.437,1647413.793,2263725.63,1595863.26,1222630.43,1277451.88,1591827.05,1624554.7,1967427.39,2386439.68,1621079.23,2703498.56,1532859.83,1211969.408,2902242.618,2953040.519,2989417.957,1857960.744,1621079.23,543661.5905,1569962.22,1621079.23,2263725.63
Canada,greenhouse_gas_emissions_(kt_of_CO2_equivalent),608685,626149.44,618673.62,655593.66,807222.82,836025.63,698763.38,690068.75,1129087.11,821594.26,760643,718534.46,908686.15,951373.04,1040136.77,849798.74,894922.55,892066.85,908926,749863.654,764137.6753,1033481.982,1027063.855,825717.3216,821594.26,144474.3472,698763.38,821594.26,908926
China,greenhouse_gas_emissions_(kt_of_CO2_equivalent),3892675.16,4035212.607,4172493.295,4398290.82,4613489.247,5042349.12,5181880.514,5113706.854,5141402.7,5079293.7,5082325.6,5145521.55,5474914.9,6226962.5,7116642.4,7803535.6,8573395.4,9124046.5,10022024.8,10617264.9,11183810.6,12064260,12454710.61,6850443.886,5181880.514,2710993.95,5042349.12,5181880.514,9124046.5
EuropeanUnion,greenhouse_gas_emissions_(kt_of_CO2_equivalent),5692720.793,5595510.517,5399872.425,5276954.553,5267323.82,5324011.907,5411909.136,5318851.567,5183115.749,5061972.728,5121050.564,5140262.447,5106069.558,5223719.346,5219034.57,5183933.055,5186381.63,5133722.155,5053634.024,4758745.151,4847306.347,4728177.558,4702090.246,5171146.515,5183933.055,243135.5428,5061972.728,5183933.055,5318851.567
